file,status,details
GH001,OK,gestures=46 gesture_type=46 lang=57
GH002,OK,gestures=44 gesture_type=44 lang=31
GH003,OK,gestures=70 gesture_type=70 lang=67
GH004,OK,gestures=68 gesture_type=68 lang=26
GH005,OK,gestures=31 gesture_type=31 lang=23
GH006,OK,gestures=33 gesture_type=33 lang=41
GH007,OK,gestures=82 gesture_type=82 lang=34
GH008,OK,gestures=133 gesture_type=133 lang=98
GH009,OK,gestures=119 gesture_type=119 lang=45
GH010,OK,gestures=136 gesture_type=136 lang=85
GH011,OK,gestures=75 gesture_type=75 lang=73
