file,ann_id,start_ms,end_ms,dur_ms,label
GH001,a93,10482,10729,247,English
GH001,a94,11288,12099,811,English
GH001,a95,13729,14219,490,English
GH001,a96,20117,20418,301,English
GH001,a97,24526,24987,461,English
GH001,a98,25325,26581,1256,English
GH001,a99,27684,29512,1828,English
GH001,a100,34814,35257,443,English
GH001,a101,35725,36332,607,English
GH001,a102,37831,39169,1338,English
GH001,a103,44224,45383,1159,English
GH001,a104,46870,49390,2520,English
GH001,a105,52109,52393,284,English
GH001,a106,53084,53440,356,English
GH001,a107,58272,58803,531,English
GH001,a108,72563,74371,1808,English
GH001,a109,78425,78947,522,English
GH001,a110,89936,90741,805,English
GH001,a111,92676,93185,509,English
GH001,a112,94931,99328,4397,English
GH001,a113,102628,103598,970,English
GH001,a114,105226,106883,1657,English
GH001,a115,108566,110405,1839,English
GH001,a116,120678,121706,1028,English
GH001,a117,135136,135675,539,English
GH001,a118,137770,138181,411,English
GH001,a119,141934,142976,1042,English
GH001,a120,144271,145499,1228,English
GH001,a121,161921,162626,705,English
GH001,a122,165421,166258,837,English
GH001,a123,172778,175664,2886,English
GH001,a124,178098,179006,908,English
GH001,a125,184328,186189,1861,English
GH001,a126,193921,195524,1603,English
GH001,a127,197424,200812,3388,English
GH001,a128,202128,207062,4934,English
GH001,a129,207584,207911,327,English
GH001,a130,212842,214030,1188,English
GH001,a131,215197,215633,436,English
GH001,a132,222950,223319,369,English
GH001,a133,224416,224895,479,English
GH001,a134,243536,244012,476,English
GH001,a135,245504,246662,1158,English
GH001,a136,254985,257188,2203,English
GH001,a137,267505,267752,247,English
GH001,a138,279882,280388,506,English
GH001,a139,282390,283930,1540,English
GH001,a140,286246,287710,1464,English
GH001,a141,291607,292349,742,English
GH001,a142,297659,298098,439,English
GH001,a143,301612,302117,505,English
GH001,a144,310507,311302,795,English
GH001,a145,312357,313101,744,English
GH001,a146,318796,319613,817,English
GH001,a147,321838,322553,715,English
GH001,a148,332834,333426,592,English
GH001,a149,333938,334796,858,English
GH002,a89,6266,6914,648,
GH002,a90,7127,7527,400,
GH002,a91,9043,9315,272,
GH002,a92,9999,10337,338,
GH002,a93,17517,18012,495,
GH002,a94,21980,24774,2794,
GH002,a95,25338,25651,313,
GH002,a96,31250,32758,1508,
GH002,a97,35058,35334,276,
GH002,a98,42187,42363,176,
GH002,a99,45525,46873,1348,
GH002,a100,49650,51361,1711,
GH002,a101,60786,61690,904,
GH002,a102,63295,64146,851,
GH002,a103,71471,72413,942,
GH002,a104,73390,73859,469,
GH002,a105,75004,75511,507,
GH002,a106,80620,82603,1983,
GH002,a107,83518,85120,1602,
GH002,a108,88120,90376,2256,
GH002,a109,93171,93613,442,
GH002,a110,97422,101078,3656,
GH002,a111,101467,102973,1506,
GH002,a112,103522,104119,597,
GH002,a113,104757,105588,831,
GH002,a114,109796,110203,407,
GH002,a115,120464,121584,1120,
GH002,a116,133928,134454,526,
GH002,a117,134802,136583,1781,
GH002,a118,141762,142479,717,
GH002,a119,146442,147158,716,
GH003,a141,257,1885,1628,English
GH003,a142,4828,5707,879,English
GH003,a143,6457,7836,1379,English
GH003,a144,8916,12466,3550,English
GH003,a145,20610,22978,2368,English
GH003,a146,28129,29015,886,English
GH003,a147,33058,34787,1729,English
GH003,a148,35690,36175,485,English
GH003,a149,41044,42486,1442,English
GH003,a150,43621,44921,1300,English
GH003,a151,49503,49720,217,English
GH003,a152,49953,50486,533,English
GH003,a153,51869,53519,1650,English
GH003,a154,65817,66217,400,English
GH003,a155,68426,68865,439,English
GH003,a156,70625,71116,491,English
GH003,a157,73812,74368,556,English
GH003,a158,77773,77910,137,English
GH003,a159,78201,78396,195,English
GH003,a160,79026,79607,581,English
GH003,a161,84754,85274,520,English
GH003,a162,97520,97817,297,English
GH003,a163,104911,105402,491,English
GH003,a164,106012,107522,1510,English
GH003,a165,108662,109327,665,English
GH003,a166,113573,119511,5938,English
GH003,a167,120327,127113,6786,English
GH003,a168,130895,132182,1287,English
GH003,a169,132629,133204,575,English
GH003,a170,135312,136870,1558,English
GH003,a171,139234,141513,2279,English
GH003,a172,141904,142466,562,English
GH003,a173,146328,147732,1404,English
GH003,a174,150675,157300,6625,English
GH003,a175,158491,158672,181,English
GH003,a176,162118,163883,1765,English
GH003,a177,184608,185735,1127,English
GH003,a178,187431,188837,1406,English
GH003,a179,191355,201102,9747,English
GH003,a180,202079,205804,3725,English
GH003,a181,210791,211388,597,English
GH003,a182,211647,211943,296,English
GH003,a183,216294,217278,984,English
GH003,a184,222248,223619,1371,English
GH003,a185,227074,230684,3610,English
GH003,a186,231666,233630,1964,English
GH003,a187,246786,248895,2109,English
GH003,a188,261208,261670,462,English
GH003,a189,273268,274198,930,English
GH003,a190,279742,282627,2885,English
GH003,a191,287943,289568,1625,English
GH003,a192,306729,307328,599,English
GH003,a193,309632,311140,1508,English
GH003,a194,316863,317522,659,English
GH003,a195,323180,324095,915,English
GH003,a196,339886,340284,398,English
GH003,a197,340544,340778,234,English
GH003,a198,342429,343233,804,English
GH003,a199,350394,350869,475,English
GH003,a200,352869,354105,1236,English
GH003,a201,360413,361055,642,English
GH003,a202,366756,367590,834,English
GH003,a203,384445,386483,2038,English
GH003,a204,388499,388943,444,English
GH003,a205,389559,389931,372,English
GH003,a206,394609,399494,4885,English
GH003,a207,400333,402374,2041,English
GH004,a139,28440,30188,1748,English
GH004,a140,40562,41793,1231,English
GH004,a141,45431,46071,640,English
GH004,a142,61711,61970,259,English
GH004,a143,86931,88097,1166,English
GH004,a144,99340,99721,381,English
