file,language,start_ms,end_ms,dur_ms
GH001,Twi,50,10482,10432
GH001,English,10482,10729,247
GH001,Twi,10729,11288,559
GH001,English,11288,12099,811
GH001,Twi,12099,13729,1630
GH001,English,13729,14219,490
GH001,Twi,14219,20117,5898
GH001,English,20117,20418,301
GH001,Twi,20418,24526,4108
GH001,English,24526,24987,461
GH001,Twi,24987,25325,338
GH001,English,25325,26581,1256
GH001,Twi,26581,27684,1103
GH001,English,27684,29512,1828
GH001,Twi,29512,34814,5302
GH001,English,34814,35257,443
GH001,Twi,35257,35725,468
GH001,English,35725,36332,607
GH001,Twi,36332,37831,1499
GH001,English,37831,39169,1338
GH001,Twi,39169,44224,5055
GH001,English,44224,45383,1159
GH001,Twi,45383,46870,1487
GH001,English,46870,49390,2520
GH001,Twi,49390,52109,2719
GH001,English,52109,52393,284
GH001,Twi,52393,53084,691
GH001,English,53084,53440,356
GH001,Twi,53440,58272,4832
GH001,English,58272,58803,531
GH001,Twi,58803,72563,13760
GH001,English,72563,74371,1808
GH001,Twi,74371,78425,4054
GH001,English,78425,78947,522
GH001,Twi,78947,89936,10989
GH001,English,89936,90741,805
GH001,Twi,90741,92676,1935
GH001,English,92676,93185,509
GH001,Twi,93185,94931,1746
GH001,English,94931,99328,4397
GH001,Twi,99328,102628,3300
GH001,English,102628,103598,970
GH001,Twi,103598,105226,1628
GH001,English,105226,106883,1657
GH001,Twi,106883,108566,1683
GH001,English,108566,110405,1839
GH001,Twi,110405,120678,10273
GH001,English,120678,121706,1028
GH001,Twi,121706,135136,13430
GH001,English,135136,135675,539
GH001,Twi,135675,137770,2095
GH001,English,137770,138181,411
GH001,Twi,138181,141934,3753
GH001,English,141934,142976,1042
GH001,Twi,142976,144271,1295
GH001,English,144271,145499,1228
GH001,Twi,145499,161921,16422
GH001,English,161921,162626,705
GH001,Twi,162626,165421,2795
GH001,English,165421,166258,837
GH001,Twi,166258,172778,6520
GH001,English,172778,175664,2886
GH001,Twi,175664,178098,2434
GH001,English,178098,179006,908
GH001,Twi,179006,184328,5322
GH001,English,184328,186189,1861
GH001,Twi,186189,193921,7732
GH001,English,193921,195524,1603
GH001,Twi,195524,197424,1900
GH001,English,197424,200812,3388
GH001,Twi,200812,202128,1316
GH001,English,202128,207062,4934
GH001,Twi,207062,207584,522
GH001,English,207584,207911,327
GH001,Twi,207911,212842,4931
GH001,English,212842,214030,1188
GH001,Twi,214030,215197,1167
GH001,English,215197,215633,436
GH001,Twi,215633,218320,2687
GH001,Twi,219211,222950,3739
GH001,English,222950,223319,369
GH001,Twi,223319,224416,1097
GH001,English,224416,224895,479
GH001,Twi,224895,243536,18641
GH001,English,243536,244012,476
GH001,Twi,244012,244035,23
GH001,Twi,244797,245504,707
GH001,English,245504,246662,1158
GH001,Twi,246662,248101,1439
GH001,Twi,249580,250171,591
GH001,Twi,250595,253190,2595
GH001,Twi,254292,254985,693
GH001,English,254985,257188,2203
GH001,Twi,257188,257260,72
GH001,Twi,257707,267505,9798
GH001,English,267505,267752,247
GH001,Twi,267752,275975,8223
GH001,Twi,277926,279882,1956
GH001,English,279882,280388,506
GH001,Twi,280388,282390,2002
GH001,English,282390,283930,1540
GH001,Twi,283930,286246,2316
GH001,English,286246,287710,1464
GH001,Twi,287710,291607,3897
GH001,English,291607,292349,742
GH001,Twi,292349,297659,5310
GH001,English,297659,298098,439
GH001,Twi,298098,301612,3514
GH001,English,301612,302117,505
GH001,Twi,302117,306806,4689
GH001,Twi,307227,310507,3280
GH001,English,310507,311302,795
GH001,Twi,311302,312357,1055
GH001,English,312357,313101,744
GH001,Twi,313101,314787,1686
GH001,Twi,315243,317224,1981
GH001,Twi,317646,318796,1150
GH001,English,318796,319613,817
GH001,Twi,319613,319853,240
GH001,Twi,320389,321838,1449
GH001,English,321838,322553,715
GH001,Twi,322553,325894,3341
GH001,Twi,326875,331281,4406
GH001,Twi,332374,332834,460
GH001,English,332834,333426,592
GH001,Twi,333426,333938,512
GH001,English,333938,334796,858
GH001,Twi,334796,334950,154
GH002,Twi,50,4348,4298
GH002,Twi,5152,6266,1114
GH002,English,6266,6914,648
GH002,Twi,6914,7127,213
GH002,English,7127,7527,400
GH002,Twi,7527,9043,1516
GH002,English,9043,9315,272
GH002,Twi,9315,9999,684
GH002,English,9999,10337,338
GH002,Twi,10337,11364,1027
GH002,Twi,12397,13348,951
GH002,Twi,14713,16532,1819
GH002,Twi,16955,17517,562
GH002,English,17517,18012,495
GH002,Twi,18012,21980,3968
GH002,English,21980,24774,2794
GH002,Twi,25164,25338,174
GH002,English,25338,25651,313
GH002,Twi,25651,31250,5599
GH002,English,31250,32758,1508
GH002,Twi,32758,33527,769
GH002,Twi,34018,35058,1040
GH002,English,35058,35334,276
GH002,Twi,35334,42187,6853
GH002,English,42187,42363,176
GH002,Twi,42363,45525,3162
GH002,English,45525,46873,1348
GH002,Twi,46873,47003,130
GH002,Twi,47922,49650,1728
GH002,English,49650,51361,1711
GH002,Twi,51361,57493,6132
GH002,Twi,58475,60786,2311
GH002,English,60786,61690,904
GH002,Twi,61690,62273,583
GH002,Twi,62861,63295,434
GH002,English,63295,64146,851
GH002,Twi,64146,64833,687
GH002,Twi,65377,71471,6094
GH002,English,71471,72413,942
GH002,Twi,72413,73390,977
GH002,English,73390,73859,469
GH002,Twi,73859,75004,1145
GH002,English,75004,75511,507
GH002,Twi,75511,80620,5109
GH002,English,80620,82603,1983
GH002,Twi,82603,83518,915
GH002,English,83518,85120,1602
GH002,Twi,85120,86171,1051
GH002,Twi,86616,88120,1504
GH002,English,88120,90376,2256
GH002,Twi,90376,91714,1338
GH002,Twi,92141,93171,1030
GH002,English,93171,93613,442
GH002,Twi,93613,97422,3809
GH002,English,97422,101078,3656
GH002,Twi,101078,101467,389
GH002,English,101467,102973,1506
GH002,Twi,102973,103522,549
GH002,English,103522,104119,597
GH002,Twi,104119,104757,638
GH002,English,104757,105588,831
GH002,Twi,105588,109796,4208
GH002,English,109796,110203,407
GH002,Twi,110203,120464,10261
GH002,English,120464,121584,1120
GH002,Twi,121953,122449,496
GH002,Twi,122861,131770,8909
GH002,Twi,132224,133928,1704
GH002,English,133928,134454,526
GH002,Twi,134454,134802,348
GH002,English,134802,136583,1781
GH002,Twi,136583,141762,5179
GH002,English,141762,142479,717
GH002,Twi,142479,146442,3963
GH002,English,146442,147158,716
GH002,Twi,147158,147950,792
GH003,Twi,50,257,207
GH003,English,257,1885,1628
GH003,Twi,1885,4828,2943
GH003,English,4828,5707,879
GH003,Twi,5707,6457,750
GH003,English,6457,7836,1379
GH003,Twi,7836,8916,1080
GH003,English,8916,12466,3550
GH003,Twi,12466,18573,6107
GH003,Twi,19204,20610,1406
GH003,English,20610,22978,2368
GH003,Twi,22978,28129,5151
GH003,English,28129,29015,886
GH003,Twi,29015,33058,4043
GH003,English,33058,34787,1729
GH003,Twi,34787,35690,903
GH003,English,35690,36175,485
GH003,Twi,36175,36191,16
GH003,Twi,36870,41044,4174
GH003,English,41044,42486,1442
GH003,Twi,42486,43621,1135
GH003,English,43621,44921,1300
GH003,Twi,44921,48281,3360
GH003,Twi,48755,49503,748
GH003,English,49503,49720,217
GH003,Twi,49720,49953,233
GH003,English,49953,50486,533
GH003,Twi,50486,51869,1383
GH003,English,51869,53519,1650
GH003,Twi,53519,57482,3963
GH003,Twi,58258,62334,4076
GH003,Twi,62736,63589,853
GH003,Twi,63993,65817,1824
GH003,English,65817,66217,400
GH003,Twi,66217,67156,939
GH003,Twi,67900,68426,526
GH003,English,68426,68865,439
GH003,Twi,68865,70625,1760
GH003,English,70625,71116,491
GH003,Twi,71116,73812,2696
GH003,English,73812,74368,556
GH003,Twi,74368,75556,1188
GH003,Twi,76101,77773,1672
GH003,English,77773,77910,137
GH003,Twi,77910,78201,291
GH003,English,78201,78396,195
GH003,Twi,78396,79026,630
GH003,English,79026,79607,581
GH003,Twi,79607,84754,5147
GH003,English,84754,85274,520
GH003,Twi,85274,86957,1683
GH003,Twi,88084,89728,1644
GH003,Twi,90245,92223,1978
GH003,Twi,92668,97520,4852
GH003,English,97520,97817,297
GH003,Twi,97817,103838,6021
GH003,Twi,104334,104911,577
GH003,English,104911,105402,491
GH003,English,106012,107522,1510
GH003,Twi,107522,108662,1140
GH003,English,108662,109327,665
GH003,Twi,109327,112984,3657
GH003,English,113573,119511,5938
GH003,Twi,119511,120327,816
GH003,English,120327,127113,6786
GH003,Twi,127113,130895,3782
GH003,English,130895,132182,1287
GH003,Twi,132182,132629,447
GH003,English,132629,133204,575
GH003,Twi,133204,135312,2108
GH003,English,135312,136870,1558
GH003,Twi,136870,139234,2364
GH003,English,139234,141513,2279
GH003,Twi,141513,141904,391
GH003,English,141904,142466,562
GH003,Twi,142466,146328,3862
GH003,English,146328,147732,1404
GH003,Twi,147944,150675,2731
GH003,English,150675,157300,6625
GH003,Twi,157428,158491,1063
GH003,English,158491,158672,181
GH003,Twi,158672,159150,478
GH003,Twi,159680,160828,1148
GH003,English,162118,163883,1765
GH003,Twi,163883,182405,18522
GH003,Twi,182819,184608,1789
GH003,English,184608,185735,1127
GH003,Twi,185735,186063,328
GH003,Twi,187019,187431,412
GH003,English,187431,188837,1406
GH003,Twi,188837,189212,375
GH003,Twi,190077,191355,1278
GH003,English,191355,201102,9747
GH003,Twi,201102,202079,977
GH003,English,202079,205804,3725
GH003,Twi,205804,210791,4987
GH003,English,210791,211388,597
GH003,Twi,211388,211647,259
GH003,English,211647,211943,296
GH003,Twi,211943,216294,4351
GH003,English,216294,217278,984
GH003,Twi,217931,219284,1353
GH003,Twi,221295,222248,953
GH003,English,222248,223619,1371
GH003,Twi,223619,227074,3455
GH003,English,227074,230684,3610
GH003,Twi,230684,231666,982
GH003,English,231666,233630,1964
GH003,Twi,233630,246786,13156
GH003,English,246786,248895,2109
GH003,Twi,248895,259451,10556
GH003,Twi,259991,261208,1217
GH003,English,261208,261670,462
GH003,Twi,261670,264280,2610
GH003,Twi,265751,273268,7517
GH003,English,273268,274198,930
GH003,Twi,274198,279742,5544
GH003,English,279742,282627,2885
GH003,Twi,282627,284108,1481
GH003,Twi,284645,287943,3298
GH003,English,287943,289568,1625
GH003,Twi,289845,292609,2764
GH003,Twi,293157,306729,13572
GH003,English,306729,307328,599
GH003,Twi,307328,309004,1676
GH003,English,309632,311140,1508
GH003,Twi,311140,313789,2649
GH003,Twi,314528,316493,1965
GH003,English,316863,317522,659
GH003,Twi,317522,323180,5658
GH003,English,323180,324095,915
GH003,Twi,324095,334740,10645
GH003,Twi,335289,339886,4597
GH003,English,339886,340284,398
GH003,Twi,340284,340544,260
GH003,English,340544,340778,234
GH003,Twi,340778,341022,244
GH003,Twi,341820,342429,609
GH003,English,342429,343233,804
GH003,Twi,343233,350394,7161
GH003,English,350394,350869,475
GH003,Twi,350869,351103,234
GH003,Twi,352477,352869,392
GH003,English,352869,354105,1236
GH003,Twi,355376,357223,1847
GH003,Twi,357720,360413,2693
GH003,English,360413,361055,642
GH003,Twi,361055,366756,5701
GH003,English,366756,367590,834
GH003,Twi,367590,384445,16855
GH003,English,384445,386483,2038
GH003,Twi,386483,388499,2016
GH003,English,388499,388943,444
GH003,Twi,388943,389559,616
GH003,English,389559,389931,372
GH003,Twi,389931,394609,4678
GH003,English,394609,399494,4885
GH003,Twi,399494,400333,839
GH003,English,400333,402374,2041
GH003,Twi,402374,407656,5282
GH003,Twi,408172,412950,4778
GH004,Twi,50,1074,1024
GH004,Twi,1632,2703,1071
GH004,Twi,3330,6887,3557
GH004,Twi,7311,7697,386
GH004,Twi,8317,10257,1940
GH004,Twi,10993,14388,3395
GH004,Twi,14899,16160,1261
GH004,Twi,16703,28075,11372
GH004,English,28440,30188,1748
GH004,Twi,30188,40562,10374
GH004,English,40562,41793,1231
GH004,Twi,41793,43401,1608
GH004,Twi,43903,45431,1528
GH004,English,45431,46071,640
GH004,Twi,46446,51438,4992
GH004,Twi,51923,54183,2260
GH004,Twi,54628,61711,7083
GH004,English,61711,61970,259
GH004,Twi,61970,64022,2052
GH004,Twi,64812,70960,6148
GH004,Twi,71388,75765,4377
GH004,Twi,76205,79959,3754
GH004,Twi,81220,82293,1073
GH004,Twi,82862,85064,2202
GH004,Twi,85687,86931,1244
GH004,English,86931,88097,1166
GH004,Twi,88097,89144,1047
