file,stroke_id,start_ms,end_ms,dur_ms,gesture_type
GH001,a1,2980,3990,1010,beat
GH001,a2,5335,13086,7751,beat
GH001,a3,13549,15106,1557,beat
GH001,a4,19701,26634,6933,beat
GH001,a5,34148,39556,5408,deictic
GH001,a6,44104,51362,7258,beat
GH001,a7,52205,53122,917,beat
GH001,a8,54754,59532,4778,beat
GH001,a9,60981,70747,9766,iconic
GH001,a10,86261,90993,4732,deictic
GH001,a11,92677,93464,787,beat
GH001,a12,94661,98734,4073,beat
GH001,a13,120109,121257,1148,beat
GH001,a14,124091,126483,2392,deictic
GH001,a15,127585,130988,3403,beat
GH001,a16,135146,140976,5830,beat
GH001,a17,145156,146382,1226,beat
GH001,a18,148539,149779,1240,beat
GH001,a19,152109,153838,1729,beat
GH001,a20,159421,162578,3157,beat
GH001,a21,169599,171916,2317,beat
GH001,a22,172959,174676,1717,beat
GH001,a23,176773,178893,2120,beat
GH001,a24,179736,182472,2736,beat
GH001,a25,189366,193935,4569,beat
GH001,a26,196552,198931,2379,beat
GH001,a27,201129,204682,3553,beat
GH001,a28,212555,213671,1116,deictic
GH001,a29,215359,219137,3778,deictic
GH001,a30,227811,230281,2470,beat
GH001,a31,240009,241040,1031,deictic
GH001,a32,242718,243645,927,beat
GH001,a33,245245,246402,1157,deictic
GH001,a34,250268,253518,3250,beat
GH001,a35,255014,259161,4147,beat
GH001,a36,261999,267323,5324,beat
GH001,a37,289021,291227,2206,iconic
GH001,a38,295200,296707,1507,beat
GH001,a39,297509,298166,657,beat
GH001,a40,301323,308161,6838,beat
GH001,a41,309764,312956,3192,beat
GH001,a42,316490,320277,3787,beat
GH001,a43,320587,326836,6249,iconic
GH001,a44,327478,329977,2499,beat
GH001,a45,330067,330855,788,deictic
GH001,a46,331623,332459,836,deictic
GH002,a1,2768,4783,2015,beat
GH002,a2,9940,11090,1150,beat
GH002,a3,13069,16544,3475,beat
GH002,a4,25388,28702,3314,beat
GH002,a5,35485,37239,1754,beat
GH002,a6,37973,43701,5728,beat
