file,start_ms,end_ms,dur_ms
GH001,218370,218803,433
GH001,218822,219161,339
GH001,244085,244747,663
GH001,248151,248528,377
GH001,248833,249142,309
GH001,249219,249530,311
GH001,250221,250545,324
GH001,253240,254242,1002
GH001,257310,257657,347
GH001,276025,277876,1851
GH001,306856,307177,321
GH001,314837,315193,356
GH001,317274,317596,322
GH001,319903,320339,436
GH001,325944,326825,881
GH001,331331,331842,511
GH001,331958,332324,365
GH002,4398,5102,704
GH002,11414,12347,933
GH002,13398,13707,309
GH002,13756,14663,907
GH002,16582,16905,323
GH002,22501,23008,507
GH002,24583,25114,531
GH002,33577,33968,392
GH002,47053,47872,819
GH002,57543,58425,882
GH002,62323,62811,488
GH002,64883,65327,444
GH002,86221,86566,344
GH002,88907,89485,579
GH002,91764,92091,327
GH002,121445,121903,458
GH002,122499,122811,312
GH002,131820,132174,354
GH003,18623,19154,531
GH003,36241,36820,580
GH003,48331,48705,374
GH003,57532,58208,676
GH003,62384,62686,301
GH003,63639,63943,305
GH003,67206,67850,645
GH003,75606,76051,445
GH003,87007,88034,1027
GH003,89778,90195,417
GH003,92273,92618,346
GH003,103888,104284,396
GH003,105360,105782,422
GH003,105823,106193,370
GH003,113034,113537,503
GH003,122808,123286,477
GH003,147560,147894,334
GH003,153753,154381,628
GH003,156374,156743,369
GH003,157039,157378,339
GH003,159200,159630,430
GH003,160878,162077,1199
GH003,182455,182769,314
GH003,186113,186969,855
GH003,189262,190027,764
GH003,196032,196529,497
GH003,198787,199415,628
GH003,216998,217881,883
GH003,219334,220427,1093
GH003,220646,221245,599
GH003,229250,229557,307
GH003,232280,232594,314
GH003,259501,259941,440
GH003,264330,265034,704
GH003,265284,265701,417
GH003,284158,284595,436
GH003,288587,289021,433
GH003,289021,289795,775
GH003,292659,293107,448
GH003,309054,309617,564
GH003,313839,314478,639
GH003,316543,317018,475
GH003,334790,335239,449
GH003,341072,341435,363
GH003,341436,341770,334
GH003,351153,351659,506
GH003,351660,352427,767
GH003,354140,355326,1185
GH003,357273,357670,397
GH003,397105,397686,582
GH003,407706,408122,416
GH004,1124,1582,459
GH004,2753,3280,527
GH004,6937,7261,324
GH004,7747,8267,520
GH004,10307,10943,636
GH004,14438,14849,412
GH004,16210,16653,444
GH004,28125,28863,738
GH004,43451,43853,402
GH004,46043,46396,353
GH004,51488,51873,386
GH004,54233,54578,345
GH004,64072,64762,691
GH004,71010,71338,328
GH004,75815,76155,340
GH004,80009,81170,1161
GH004,82343,82812,470
GH004,85114,85637,523
GH004,89194,89661,467
GH004,95403,95721,318
GH004,100490,100913,423
GH004,107502,108311,809
GH004,108391,109168,778
GH004,110909,111326,417
GH004,112223,113168,945
GH004,114155,114537,382
GH004,123159,123586,427
GH004,130698,131029,331
GH004,140206,140780,574
GH004,150932,151318,386
GH004,158390,158779,388
GH004,160499,160964,465
GH004,164498,164839,341
GH004,173026,173343,317
GH004,178261,178629,369
GH004,179558,179921,363
GH004,180591,181270,678
GH004,181270,181596,326
GH004,182274,182713,439
GH004,187929,188685,756
GH004,191346,191706,360
GH004,204586,205099,513
GH004,208519,209489,969
GH004,219353,220074,721
GH004,228312,228632,320
GH004,235197,236023,826
GH004,238849,239171,322
GH005,479,976,497
GH005,2889,3407,519
GH005,4210,5038,828
GH005,8348,8808,461
GH005,9813,10473,660
GH005,11653,12234,582
GH005,14149,14498,349
GH005,18813,19255,443
GH005,26707,27062,355
GH005,30368,30798,430
GH005,36651,37621,970
GH005,38037,38621,583
GH005,41997,42469,472
GH005,43777,44137,360
GH005,44801,45365,564
GH005,47026,47703,676
GH005,48610,48945,335
GH005,49274,50523,1250
GH005,50644,51345,700
GH005,56296,56668,371
GH005,57147,57552,404
GH005,58171,58713,542
GH005,59457,60343,885
GH005,62335,62864,529
GH005,66403,66810,407
GH005,79363,80019,656
GH005,81947,82392,445
GH005,83969,84382,413
GH005,87220,87670,450
GH005,88184,89089,905
GH005,89783,90665,882
GH005,92560,93496,935
GH005,95944,96256,313
GH005,105230,105668,438
GH005,107017,107497,480
GH005,107870,108398,528
GH005,110885,111224,338
GH005,111994,112407,412
GH005,116726,117319,593
GH005,118951,119317,366
GH005,121159,121797,638
GH005,122477,122993,516
GH006,300,760,460
GH006,1251,1800,550
GH006,3438,4123,686
GH006,5126,6084,957
GH006,7799,8643,844
GH006,12506,13065,559
GH006,15668,16106,439
GH006,21766,22142,376
GH006,26486,26864,379
GH006,27900,28242,343
GH006,29437,29959,522
GH006,30871,31935,1064
GH006,32429,34450,2020
GH006,35151,35521,370
GH006,45753,46384,630
GH006,58427,58900,473
GH006,60711,61154,443
GH006,61846,62234,388
GH006,63024,63415,391
GH006,64767,65490,723
GH006,66095,66604,510
GH006,79114,79620,506
GH006,90231,90956,725
GH006,105935,106397,462
GH006,108908,109297,389
GH006,117615,118017,402
GH006,120306,121016,710
GH006,122392,122884,493
GH006,127347,127765,418
GH006,129663,130175,511
GH006,131668,132090,421
GH006,134673,135080,408
GH006,142052,142354,301
GH006,149475,149892,418
GH006,150926,151235,309
GH006,153662,154102,440
GH006,154943,155336,393
GH006,159264,159703,439
GH006,161796,162311,515
GH006,163738,164255,517
GH006,164891,165277,386
GH006,166538,167004,466
GH006,171987,172358,371
GH006,173321,174582,1261
GH007,3059,3469,410
GH007,8346,8785,439
GH007,20577,21157,580
GH007,22305,22610,305
GH007,24085,24650,565
GH007,27013,27475,461
GH007,28477,29081,604
GH007,35161,35550,389
GH007,37980,38652,672
GH007,42199,42662,463
GH007,44496,44981,485
GH007,45451,45973,523
GH007,49524,49876,352
GH007,56638,57339,701
GH007,60059,60736,677
GH007,65172,65910,739
GH007,67356,67960,604
GH007,67965,68288,323
GH007,68963,69634,672
GH007,71676,72153,477
GH007,74244,74773,530
GH007,75877,76331,455
GH007,77320,77808,488
GH007,80250,81232,983
GH007,82474,82804,329
GH007,83595,84039,443
GH007,84640,85186,546
GH007,86414,86750,336
GH007,88391,88956,565
GH007,89329,89752,422
GH007,92498,92921,423
