file,start_ms,end_ms,dur_ms
GH001,50,218320,218270
GH001,219211,244035,24823
GH001,244797,248101,3304
GH001,249580,250171,591
GH001,250595,253190,2595
GH001,254292,257260,2968
GH001,257707,275975,18267
GH001,277926,306806,28880
GH001,307227,314787,7560
GH001,315243,317224,1981
GH001,317646,319853,2207
GH001,320389,325894,5505
GH001,326875,331281,4406
GH001,332374,334950,2576
GH002,50,4348,4298
GH002,5152,11364,6211
GH002,12397,13348,951
GH002,14713,16532,1820
GH002,16955,22451,5495
GH002,23058,24533,1475
GH002,25164,33527,8363
GH002,34018,47003,12984
GH002,47922,57493,9571
GH002,58475,62273,3798
GH002,62861,64833,1972
GH002,65377,86171,20794
GH002,86616,88857,2241
GH002,89535,91714,2179
GH002,92141,121395,29254
GH002,121953,122449,495
GH002,122861,131770,8909
GH002,132224,147950,15726
GH003,50,18573,18523
GH003,19204,36191,16987
GH003,36870,48281,11411
GH003,48755,57482,8727
GH003,58258,62334,4076
GH003,62736,63589,853
GH003,63993,67156,3162
GH003,67900,75556,7656
GH003,76101,86957,10856
GH003,88084,89728,1644
GH003,90245,92223,1978
GH003,92668,103838,11170
GH003,104334,105310,976
GH003,106243,112984,6741
GH003,113587,122758,9172
GH003,123336,147510,24174
GH003,147944,153703,5759
GH003,154431,156324,1893
GH003,157428,159150,1722
GH003,159680,160828,1148
GH003,162127,182405,20278
GH003,182819,186063,3245
GH003,187019,189212,2194
GH003,190077,195982,5905
GH003,196579,198737,2159
GH003,199465,216948,17483
GH003,217931,219284,1353
GH003,221295,229200,7905
GH003,229607,232230,2623
GH003,232644,259451,26808
GH003,259991,264280,4289
GH003,265751,284108,18357
GH003,284645,288537,3893
GH003,289845,292609,2764
GH003,293157,309004,15847
GH003,309667,313789,4122
GH003,314528,316493,1965
GH003,317068,334740,17672
GH003,335289,341022,5732
GH003,341820,351103,9283
GH003,352477,354090,1614
GH003,355376,357223,1847
GH003,357720,397055,39335
GH003,397736,407656,9920
GH003,408172,412950,4778
GH004,50,1074,1024
GH004,1632,2703,1071
GH004,3330,6887,3557
GH004,7311,7697,386
GH004,8317,10257,1940
GH004,10993,14388,3394
GH004,14899,16160,1260
GH004,16703,28075,11372
GH004,28913,43401,14488
GH004,43903,45993,2090
GH004,46446,51438,4992
GH004,51923,54183,2260
GH004,54628,64022,9394
GH004,64812,70960,6148
GH004,71388,75765,4377
GH004,76205,79959,3754
GH004,81220,82293,1072
GH004,82862,85064,2202
GH004,85687,89144,3457
GH004,89711,95353,5642
GH004,95771,100440,4669
GH004,100963,107452,6489
GH004,109218,110859,1641
GH004,111376,112173,797
GH004,113218,114105,887
GH004,114587,123109,8522
GH004,123636,130648,7012
GH004,131079,140156,9077
GH004,140830,150882,10052
GH004,151368,158340,6973
GH004,158829,160449,1620
GH004,161014,164448,3435
GH004,164889,172976,8087
GH004,173393,178211,4817
GH004,178679,179508,828
GH004,179971,180541,570
GH004,181646,182224,579
GH004,182763,187879,5116
GH004,188735,191296,2561
GH004,191756,204536,12780
GH004,205149,208469,3321
GH004,209539,219303,9764
GH004,220124,228262,8138
GH004,228682,235147,6466
GH004,236073,238799,2725
GH004,239221,242950,3729
GH005,50,429,379
GH005,1026,2839,1812
GH005,3457,4160,703
GH005,5088,8298,3210
GH005,8858,9763,905
GH005,10523,11603,1079
GH005,12284,14099,1815
GH005,14548,18763,4214
GH005,19305,26657,7352
GH005,27112,30318,3206
GH005,30848,36601,5753
GH005,37671,37987,316
