file,switch_time_ms,direction
GH001,10482,Twi_to_English
GH001,10729,English_to_Twi
GH001,11288,Twi_to_English
GH001,12099,English_to_Twi
GH001,13729,Twi_to_English
GH001,14219,English_to_Twi
GH001,20117,Twi_to_English
GH001,20418,English_to_Twi
GH001,24526,Twi_to_English
GH001,24987,English_to_Twi
GH001,25325,Twi_to_English
GH001,26581,English_to_Twi
GH001,27684,Twi_to_English
GH001,29512,English_to_Twi
GH001,34814,Twi_to_English
GH001,35257,English_to_Twi
GH001,35725,Twi_to_English
GH001,36332,English_to_Twi
GH001,37831,Twi_to_English
GH001,39169,English_to_Twi
GH001,44224,Twi_to_English
GH001,45383,English_to_Twi
GH001,46870,Twi_to_English
GH001,49390,English_to_Twi
GH001,52109,Twi_to_English
GH001,52393,English_to_Twi
GH001,53084,Twi_to_English
GH001,53440,English_to_Twi
GH001,58272,Twi_to_English
GH001,58803,English_to_Twi
GH001,72563,Twi_to_English
GH001,74371,English_to_Twi
GH001,78425,Twi_to_English
GH001,78947,English_to_Twi
GH001,89936,Twi_to_English
GH001,90741,English_to_Twi
GH001,92676,Twi_to_English
GH001,93185,English_to_Twi
GH001,94931,Twi_to_English
GH001,99328,English_to_Twi
GH001,102628,Twi_to_English
GH001,103598,English_to_Twi
GH001,105226,Twi_to_English
GH001,106883,English_to_Twi
GH001,108566,Twi_to_English
GH001,110405,English_to_Twi
GH001,120678,Twi_to_English
GH001,121706,English_to_Twi
GH001,135136,Twi_to_English
GH001,135675,English_to_Twi
GH001,137770,Twi_to_English
GH001,138181,English_to_Twi
GH001,141934,Twi_to_English
GH001,142976,English_to_Twi
GH001,144271,Twi_to_English
GH001,145499,English_to_Twi
GH001,161921,Twi_to_English
GH001,162626,English_to_Twi
GH001,165421,Twi_to_English
GH001,166258,English_to_Twi
GH001,172778,Twi_to_English
GH001,175664,English_to_Twi
GH001,178098,Twi_to_English
GH001,179006,English_to_Twi
GH001,184328,Twi_to_English
GH001,186189,English_to_Twi
GH001,193921,Twi_to_English
GH001,195524,English_to_Twi
GH001,197424,Twi_to_English
GH001,200812,English_to_Twi
GH001,202128,Twi_to_English
GH001,207062,English_to_Twi
GH001,207584,Twi_to_English
GH001,207911,English_to_Twi
GH001,212842,Twi_to_English
GH001,214030,English_to_Twi
GH001,215197,Twi_to_English
GH001,215633,English_to_Twi
GH001,222950,Twi_to_English
GH001,223319,English_to_Twi
GH001,224416,Twi_to_English
GH001,224895,English_to_Twi
GH001,243536,Twi_to_English
GH001,244012,English_to_Twi
GH001,245504,Twi_to_English
GH001,246662,English_to_Twi
GH001,254985,Twi_to_English
GH001,257188,English_to_Twi
GH001,267505,Twi_to_English
GH001,267752,English_to_Twi
GH001,279882,Twi_to_English
GH001,280388,English_to_Twi
GH001,282390,Twi_to_English
GH001,283930,English_to_Twi
GH001,286246,Twi_to_English
GH001,287710,English_to_Twi
GH001,291607,Twi_to_English
GH001,292349,English_to_Twi
GH001,297659,Twi_to_English
GH001,298098,English_to_Twi
GH001,301612,Twi_to_English
GH001,302117,English_to_Twi
GH001,310507,Twi_to_English
GH001,311302,English_to_Twi
GH001,312357,Twi_to_English
GH001,313101,English_to_Twi
GH001,318796,Twi_to_English
GH001,319613,English_to_Twi
GH001,321838,Twi_to_English
GH001,322553,English_to_Twi
GH001,332834,Twi_to_English
GH001,333426,English_to_Twi
GH001,333938,Twi_to_English
GH001,334796,English_to_Twi
GH002,6266,Twi_to_English
GH002,6914,English_to_Twi
GH002,7127,Twi_to_English
GH002,7527,English_to_Twi
GH002,9043,Twi_to_English
GH002,9315,English_to_Twi
GH002,9999,Twi_to_English
GH002,10337,English_to_Twi
GH002,17517,Twi_to_English
GH002,18012,English_to_Twi
GH002,21980,Twi_to_English
GH002,25164,English_to_Twi
GH002,25338,Twi_to_English
GH002,25651,English_to_Twi
GH002,31250,Twi_to_English
GH002,32758,English_to_Twi
GH002,35058,Twi_to_English
GH002,35334,English_to_Twi
GH002,42187,Twi_to_English
GH002,42363,English_to_Twi
GH002,45525,Twi_to_English
GH002,46873,English_to_Twi
GH002,49650,Twi_to_English
GH002,51361,English_to_Twi
GH002,60786,Twi_to_English
GH002,61690,English_to_Twi
GH002,63295,Twi_to_English
GH002,64146,English_to_Twi
GH002,71471,Twi_to_English
GH002,72413,English_to_Twi
GH002,73390,Twi_to_English
GH002,73859,English_to_Twi
GH002,75004,Twi_to_English
GH002,75511,English_to_Twi
GH002,80620,Twi_to_English
GH002,82603,English_to_Twi
GH002,83518,Twi_to_English
GH002,85120,English_to_Twi
GH002,88120,Twi_to_English
GH002,90376,English_to_Twi
GH002,93171,Twi_to_English
GH002,93613,English_to_Twi
GH002,97422,Twi_to_English
GH002,101078,English_to_Twi
GH002,101467,Twi_to_English
GH002,102973,English_to_Twi
GH002,103522,Twi_to_English
GH002,104119,English_to_Twi
GH002,104757,Twi_to_English
GH002,105588,English_to_Twi
GH002,109796,Twi_to_English
GH002,110203,English_to_Twi
GH002,120464,Twi_to_English
GH002,121953,English_to_Twi
GH002,133928,Twi_to_English
GH002,134454,English_to_Twi
GH002,134802,Twi_to_English
GH002,136583,English_to_Twi
GH002,141762,Twi_to_English
GH002,142479,English_to_Twi
GH002,146442,Twi_to_English
GH002,147158,English_to_Twi
GH003,257,Twi_to_English
GH003,1885,English_to_Twi
GH003,4828,Twi_to_English
GH003,5707,English_to_Twi
GH003,6457,Twi_to_English
GH003,7836,English_to_Twi
GH003,8916,Twi_to_English
GH003,12466,English_to_Twi
GH003,20610,Twi_to_English
GH003,22978,English_to_Twi
GH003,28129,Twi_to_English
GH003,29015,English_to_Twi
GH003,33058,Twi_to_English
GH003,34787,English_to_Twi
GH003,35690,Twi_to_English
GH003,36175,English_to_Twi
GH003,41044,Twi_to_English
GH003,42486,English_to_Twi
GH003,43621,Twi_to_English
GH003,44921,English_to_Twi
GH003,49503,Twi_to_English
GH003,49720,English_to_Twi
GH003,49953,Twi_to_English
GH003,50486,English_to_Twi
GH003,51869,Twi_to_English
GH003,53519,English_to_Twi
GH003,65817,Twi_to_English
GH003,66217,English_to_Twi
GH003,68426,Twi_to_English
GH003,68865,English_to_Twi
GH003,70625,Twi_to_English
GH003,71116,English_to_Twi
GH003,73812,Twi_to_English
GH003,74368,English_to_Twi
GH003,77773,Twi_to_English
GH003,77910,English_to_Twi
GH003,78201,Twi_to_English
GH003,78396,English_to_Twi
GH003,79026,Twi_to_English
GH003,79607,English_to_Twi
GH003,84754,Twi_to_English
GH003,85274,English_to_Twi
GH003,97520,Twi_to_English
GH003,97817,English_to_Twi
GH003,104911,Twi_to_English
GH003,107522,English_to_Twi
GH003,108662,Twi_to_English
GH003,109327,English_to_Twi
GH003,113573,Twi_to_English
GH003,119511,English_to_Twi
GH003,120327,Twi_to_English
GH003,127113,English_to_Twi
GH003,130895,Twi_to_English
GH003,132182,English_to_Twi
GH003,132629,Twi_to_English
GH003,133204,English_to_Twi
GH003,135312,Twi_to_English
GH003,136870,English_to_Twi
GH003,139234,Twi_to_English
GH003,141513,English_to_Twi
GH003,141904,Twi_to_English
GH003,142466,English_to_Twi
GH003,146328,Twi_to_English
GH003,147944,English_to_Twi
GH003,150675,Twi_to_English
GH003,157428,English_to_Twi
GH003,158491,Twi_to_English
GH003,158672,English_to_Twi
GH003,162118,Twi_to_English
GH003,163883,English_to_Twi
GH003,184608,Twi_to_English
GH003,185735,English_to_Twi
GH003,187431,Twi_to_English
GH003,188837,English_to_Twi
GH003,191355,Twi_to_English
GH003,201102,English_to_Twi
GH003,202079,Twi_to_English
GH003,205804,English_to_Twi
GH003,210791,Twi_to_English
GH003,211388,English_to_Twi
