file,direction,window_start_ms,window_end_ms
GH001,Twi_to_English,9982,10982
GH001,English_to_Twi,10229,11229
GH001,Twi_to_English,10788,11788
GH001,English_to_Twi,11599,12599
GH001,Twi_to_English,13229,14229
GH001,English_to_Twi,13719,14719
GH001,Twi_to_English,19617,20617
GH001,English_to_Twi,19918,20918
GH001,Twi_to_English,24026,25026
GH001,English_to_Twi,24487,25487
GH001,Twi_to_English,24825,25825
GH001,English_to_Twi,26081,27081
GH001,Twi_to_English,27184,28184
GH001,English_to_Twi,29012,30012
GH001,Twi_to_English,34314,35314
GH001,English_to_Twi,34757,35757
GH001,Twi_to_English,35225,36225
GH001,English_to_Twi,35832,36832
GH001,Twi_to_English,37331,38331
GH001,English_to_Twi,38669,39669
GH001,Twi_to_English,43724,44724
GH001,English_to_Twi,44883,45883
GH001,Twi_to_English,46370,47370
GH001,English_to_Twi,48890,49890
GH001,Twi_to_English,51609,52609
GH001,English_to_Twi,51893,52893
GH001,Twi_to_English,52584,53584
GH001,English_to_Twi,52940,53940
GH001,Twi_to_English,57772,58772
GH001,English_to_Twi,58303,59303
GH001,Twi_to_English,72063,73063
GH001,English_to_Twi,73871,74871
GH001,Twi_to_English,77925,78925
GH001,English_to_Twi,78447,79447
GH001,Twi_to_English,89436,90436
GH001,English_to_Twi,90241,91241
GH001,Twi_to_English,92176,93176
GH001,English_to_Twi,92685,93685
GH001,Twi_to_English,94431,95431
GH001,English_to_Twi,98828,99828
GH001,Twi_to_English,102128,103128
GH001,English_to_Twi,103098,104098
GH001,Twi_to_English,104726,105726
GH001,English_to_Twi,106383,107383
GH001,Twi_to_English,108066,109066
GH001,English_to_Twi,109905,110905
GH001,Twi_to_English,120178,121178
GH001,English_to_Twi,121206,122206
GH001,Twi_to_English,134636,135636
GH001,English_to_Twi,135175,136175
GH001,Twi_to_English,137270,138270
GH001,English_to_Twi,137681,138681
GH001,Twi_to_English,141434,142434
GH001,English_to_Twi,142476,143476
GH001,Twi_to_English,143771,144771
GH001,English_to_Twi,144999,145999
GH001,Twi_to_English,161421,162421
GH001,English_to_Twi,162126,163126
GH001,Twi_to_English,164921,165921
GH001,English_to_Twi,165758,166758
GH001,Twi_to_English,172278,173278
GH001,English_to_Twi,175164,176164
GH001,Twi_to_English,177598,178598
GH001,English_to_Twi,178506,179506
GH001,Twi_to_English,183828,184828
GH001,English_to_Twi,185689,186689
GH001,Twi_to_English,193421,194421
GH001,English_to_Twi,195024,196024
GH001,Twi_to_English,196924,197924
GH001,English_to_Twi,200312,201312
GH001,Twi_to_English,201628,202628
GH001,English_to_Twi,206562,207562
GH001,Twi_to_English,207084,208084
GH001,English_to_Twi,207411,208411
GH001,Twi_to_English,212342,213342
GH001,English_to_Twi,213530,214530
GH001,Twi_to_English,214697,215697
GH001,English_to_Twi,215133,216133
GH001,Twi_to_English,222450,223450
GH001,English_to_Twi,222819,223819
GH001,Twi_to_English,223916,224916
GH001,English_to_Twi,224395,225395
GH001,Twi_to_English,243036,244036
GH001,English_to_Twi,243512,244512
GH001,Twi_to_English,245004,246004
GH001,English_to_Twi,246162,247162
GH001,Twi_to_English,254485,255485
GH001,English_to_Twi,256688,257688
GH001,Twi_to_English,267005,268005
GH001,English_to_Twi,267252,268252
