file,clip_dur_s,speech_dur_s,speech_ratio,n_speech_segments,n_silence_segments,silence_db,min_silence_s
GH001,335.0,323.93,0.967,14,17,-35,0.3
GH002,148.0,136.54,0.923,18,18,-35,0.3
GH003,413.0,380.0,0.92,45,51,-35,0.3
GH004,243.0,214.53,0.883,46,47,-35,0.3
GH005,124.0,95.97,0.774,41,42,-35,0.3
GH006,175.0,145.91,0.834,44,44,-35,0.3
GH007,285.0,238.18,0.836,75,78,-35,0.3
GH008,600.03,387.78,0.646,164,183,-35,0.3
GH009,600.03,371.55,0.619,174,210,-35,0.3
GH010,518.0,406.36,0.784,151,153,-35,0.3
GH011,465.0,328.0,0.705,107,107,-35,0.3
